owner,total
2oqRHnBZeEHfLkqVmN6zNThPUo7iud16jjkN9aypzCFc,2
GPURrSmjvfVpV4ufUDefSTyBJ1Yf8baLeXLKPJkX8qo6,2
72tJUxfrnuaBRPd9RhPy7SrLhSbZvp48oZAV5cRZmxJV,2
EkWcGiBmatpqRgEd1p3MDz5CMsxddLBGBUMz8mXHi4hC,2
HbpTqLxWoXs8GN5naRUMyMdBPgFJB8h4SM1EJ6wykSYe,2
BxdRN31tbfAHQfGqMPdMTdy4kfv1rrr35gikEe59NUuw,2
AM1TxwV5Ds9ztcbY59wrRRByiCHe8qUokL8iH3VU1RTM,2
Hy5Kor69ESjegaqtQtNHdMj6woPvGmDw3Wm8BDFSUTds,2
49noAFoeNSuyvyUYxL8rEJ2q2fWVk98LwHQm9nozJgTe,2
EuZgxzLtBGseX8LBJTEwqpwrdCxXDByVtAD9RK1CaTNS,2
2AKGwkLhFgNqKbfuakrjFvvYaTERJ1C91pjDDqKfX2wi,2
HuiqnFL3tH5aYcm7RtSpRtNQTie5a9f8pC7dz8735ae1,2
CSR5sGdbn8fwnceRbxXp4hsaRCWhYDAaopJisSNqRhkA,2
J43ureV3C9AVYqRvFb52U3xyoLcxifRwRs2JvWiLnUca,2
4Si21UPKjVWZFLTFiXBRkj3DPUL7WuskwBpffeRoNMjc,2
4UWN3jR5zSFTTTryszkcnmBb2hJq9NzP1sbtLSVsTV1r,2
G7kXA38ScRVqq6u1YWeon2fhQvAVeAxvurayZL1UDbri,2
HRfRtSFMse6h6r4tBphaGpuq8FtDrqm7HTDAZwjBhd7U,2
5GHMPskpm21G3efYZRoHrCgYZKNTSkMMBVY3vne7PUQm,2
CXhKaZ5SmDbQxAmHZVaFNFN7XtTgmhHZUZ7YPdTWW2Le,2
78NLBp9XnJxGKo55creb2A7me1AqZRdqwxLETZYdDgy9,2
GyQ9vgUoMeLTPsCgPKaESFTXZf6tWHcpffsMszmsAsun,2
tHex1tCnzyzmFCAudY9AySCDLWtGmNNto73R9qZ8o6L,2
DKKBqj7JfvMeguQ5B2Js7QcEuna5ZLqUu3nawnGkAMGn,2
